candidate_id,rank,score,reasoning
CAND_0081846,1,1.446573,"Lead AI Engineer with 6.7 years of experience. Current claim: building hybrid search systems, dense/sparse retrieval layers, and configuring offline evaluation frameworks. top skills: Embeddings (95mo) + Information Retrieval (93mo). key: JD template match (1.50x) signals: YoE fit 1.00x | availability 1.35x | notice 1.15x | location 0.93x | GitHub 1.06x | career quality 1.15x | skill depth 1.15x | JD template 1.50x. friction: based in Jaipur, Rajasthan (not Pune/Noida)"
CAND_0065139,12,0.754266,"AI Research Engineer with 5.2 years of experience. Current claim: configuring tokenization strategies, building text preprocessing layers, and training custom transformer sequences. top skills: Semantic Search (54mo) + PyTorch (41mo). key: company pedigree (1.26x) signals: YoE fit 0.95x | availability 1.06x | notice 1.05x | location 0.93x | GitHub 1.00x | career quality 1.26x | skill depth 1.10x | JD template 1.00x. friction: based in Bhubaneswar, Odisha (not Pune/Noida)"
CAND_0073007,13,0.749939,"AI Specialist with 5.8 years of experience. Current claim: researching statistical filtering layers and building offline mathematical engines for matrix factorization. top skills: Embeddings (57mo) + pgvector (34mo). key: availability (1.39x) signals: YoE fit 0.95x | availability 1.39x | notice 1.05x | location 1.00x | GitHub 1.15x | career quality 1.30x | skill depth 1.05x | JD template 1.00x. friction: based in Bangalore, Karnataka (not Pune/Noida)"
CAND_0029714,14,0.742865,AI Specialist with 6.4 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. top skills: NLP (40mo) + PyTorch (34mo). key: company pedigree (1.19x) signals: YoE fit 1.00x | availability 1.05x | notice 1.05x | location 1.10x | GitHub 1.12x | career quality 1.19x | skill depth 1.10x | JD template 1.00x. not marked open-to-work.
CAND_0032216,15,0.739027,"ML Engineer with 6.1 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. top skills: PyTorch (51mo) + Learning to Rank (31mo). key: availability (1.25x) signals: YoE fit 1.00x | availability 1.25x | notice 1.15x | location 0.97x | GitHub 1.00x | career quality 1.15x | skill depth 1.15x | JD template 1.00x. friction: based in Chennai, Tamil Nadu (not Pune/Noida)"
CAND_0014440,16,0.738296,"Recommendation Systems Engineer with 6.4 years of experience. Current claim: tuning search engine scoring logic, adjusting index configurations, and scaling product search relevancy features. top skills: Milvus (79mo) + Qdrant (49mo). key: JD template match (1.50x) signals: YoE fit 1.00x | availability 1.35x | notice 1.05x | location 0.97x | GitHub 1.15x | career quality 1.15x | skill depth 1.15x | JD template 1.50x. friction: based in Chennai, Tamil Nadu (not Pune/Noida)"
CAND_0094165,17,0.738056,AI Research Engineer with 5.8 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. top skills: pgvector (54mo) + Haystack (29mo). key: availability (1.46x) signals: YoE fit 0.95x | availability 1.46x | notice 1.00x | location 0.93x | GitHub 1.15x | career quality 1.03x | skill depth 1.07x | JD template 1.00x. friction: 90-day notice
CAND_0008295,18,0.723679,"AI Research Engineer with 6.5 years of experience. Current claim: configuring tokenization strategies, building text preprocessing layers, and training custom transformer sequences. top skills: BM25 (57mo) + Python (53mo). key: availability (1.46x) signals: YoE fit 1.00x | availability 1.46x | notice 1.05x | location 1.10x | GitHub 1.12x | career quality 1.04x | skill depth 1.05x | JD template 1.00x. open to work."
CAND_0095042,19,0.722987,Senior Software Engineer (ML) with 5.1 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. top skills: PEFT (41mo) + Prompt Engineering (41mo). key: availability (1.25x) signals: YoE fit 0.95x | availability 1.25x | notice 1.00x | location 1.00x | GitHub 1.06x | career quality 1.21x | skill depth 1.05x | JD template 1.00x. friction: 90-day notice
CAND_0021491,20,0.706959,AI Research Engineer with 6.1 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. top skills: LoRA (56mo) + scikit-learn (49mo). key: availability (1.25x) signals: YoE fit 1.00x | availability 1.25x | notice 1.00x | location 0.93x | GitHub 1.15x | career quality 1.18x | skill depth 1.10x | JD template 1.00x. friction: 90-day notice
CAND_0018888,21,0.696178,"AI Research Engineer with 6.5 years of experience. Current claim: configuring tokenization strategies, building text preprocessing layers, and training custom transformer sequences. top skills: Information Retrieval (51mo) + FAISS (49mo). key: company pedigree (1.15x) signals: YoE fit 1.00x | availability 1.10x | notice 1.15x | location 1.10x | GitHub 1.12x | career quality 1.15x | skill depth 1.10x | JD template 1.00x. not marked open-to-work."
CAND_0010541,22,0.696014,"AI Research Engineer with 6.2 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. top skills: Weaviate (29mo) + Pinecone (27mo). key: company pedigree (1.30x) signals: YoE fit 1.00x | availability 1.19x | notice 1.05x | location 0.97x | GitHub 1.00x | career quality 1.30x | skill depth 1.05x | JD template 1.00x. friction: based in Hyderabad, Telangana (not Pune/Noida)"
CAND_0004402,23,0.690503,"AI Research Engineer with 6.0 years of experience. Current claim: researching statistical filtering layers and building offline mathematical engines for matrix factorization. top skills: Learning to Rank (45mo) + PyTorch (32mo). key: availability (1.46x) signals: YoE fit 1.00x | availability 1.46x | notice 1.05x | location 1.08x | GitHub 1.00x | career quality 1.22x | skill depth 1.05x | JD template 1.00x. friction: based in Delhi, Delhi (not Pune/Noida)"
CAND_0096801,24,0.689581,"AI Research Engineer with 4.2 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. top skills: FAISS (55mo) + Weaviate (48mo). key: availability (1.31x) signals: YoE fit 0.80x | availability 1.31x | notice 1.15x | location 0.93x | GitHub 1.12x | career quality 1.15x | skill depth 1.10x | JD template 1.00x. friction: based in Kolkata, West Bengal (not Pune/Noida)"
CAND_0098952,25,0.682226,"AI Research Engineer with 5.5 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. top skills: Recommendation Systems (41mo) + NLP (33mo). key: company pedigree (1.25x) signals: YoE fit 0.95x | availability 1.22x | notice 1.05x | location 0.93x | GitHub 1.12x | career quality 1.25x | skill depth 1.05x | JD template 1.00x. friction: based in Gurgaon, Haryana (not Pune/Noida)"
CAND_0015967,26,0.679094,"Senior Software Engineer (ML) with 5.4 years of experience. Current claim: researching statistical filtering layers and building offline mathematical engines for matrix factorization. top skills: Deep Learning (50mo) + TensorFlow (42mo). key: availability (1.31x) signals: YoE fit 0.95x | availability 1.31x | notice 1.15x | location 0.97x | GitHub 1.00x | career quality 1.17x | skill depth 1.05x | JD template 1.00x. friction: based in Hyderabad, Telangana (not Pune/Noida)"
CAND_0044890,27,0.678279,AI Research Engineer with 5.0 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. top skills: Haystack (47mo) + LoRA (29mo). key: company pedigree (1.30x) signals: YoE fit 0.95x | availability 1.26x | notice 1.00x | location 0.93x | GitHub 1.15x | career quality 1.30x | skill depth 1.05x | JD template 1.00x. friction: 90-day notice
CAND_0069638,28,0.65892,"Computer Vision Engineer with 6.2 years of experience. Current claim: researching statistical filtering layers and building offline mathematical engines for matrix factorization. top skills: Pinecone (60mo) + Semantic Search (43mo). key: availability (1.35x) signals: YoE fit 1.00x | availability 1.35x | notice 1.15x | location 0.97x | GitHub 1.00x | career quality 1.15x | skill depth 1.15x | JD template 1.00x. friction: based in Chennai, Tamil Nadu (not Pune/Noida)"
CAND_0070525,29,0.657788,"Senior Software Engineer (ML) with 5.4 years of experience. Current claim: configuring tokenization strategies, building text preprocessing layers, and training custom transformer sequences. top skills: Recommendation Systems (53mo) + LLMs (32mo). key: availability (1.46x) signals: YoE fit 0.95x | availability 1.46x | notice 1.05x | location 0.97x | GitHub 1.00x | career quality 1.30x | skill depth 1.05x | JD template 1.00x. friction: based in Hyderabad, Telangana (not Pune/Noida)"
CAND_0060257,30,0.656987,"AI Specialist with 5.8 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. top skills: OpenSearch (51mo) + Prompt Engineering (40mo). key: availability (1.25x) signals: YoE fit 0.95x | availability 1.25x | notice 1.05x | location 0.93x | GitHub 1.12x | career quality 1.15x | skill depth 1.10x | JD template 1.00x. friction: based in Gurgaon, Haryana (not Pune/Noida)"
CAND_0020494,31,0.654971,AI Research Engineer with 5.9 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. top skills: Embeddings (56mo) + Deep Learning (28mo). key: recruiter signal (1.16x) signals: YoE fit 0.95x | availability 0.95x | notice 1.05x | location 1.10x | GitHub 1.15x | career quality 1.15x | skill depth 1.05x | JD template 1.00x. not marked open-to-work.
CAND_0044576,32,0.653858,Senior Software Engineer (ML) with 5.4 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. top skills: Vector Search (31mo) + OpenSearch (29mo). key: availability (1.31x) signals: YoE fit 0.95x | availability 1.31x | notice 1.00x | location 0.93x | GitHub 1.00x | career quality 1.13x | skill depth 1.05x | JD template 1.00x. friction: 90-day notice
CAND_0065786,33,0.651211,"AI Specialist with 4.9 years of experience. Current claim: researching statistical filtering layers and building offline mathematical engines for matrix factorization. top skills: Pinecone (56mo) + Learning to Rank (47mo). key: availability (1.46x) signals: YoE fit 0.80x | availability 1.46x | notice 1.05x | location 0.93x | GitHub 1.15x | career quality 1.17x | skill depth 1.05x | JD template 1.00x. friction: based in Indore, Madhya Pradesh (not Pune/Noida)"
CAND_0080372,34,0.650832,Computer Vision Engineer with 5.2 years of experience. Current claim: researching statistical filtering layers and building offline mathematical engines for matrix factorization. top skills: Deep Learning (40mo) + scikit-learn (35mo). key: availability (1.22x) signals: YoE fit 0.95x | availability 1.22x | notice 1.00x | location 0.97x | GitHub 1.00x | career quality 1.17x | skill depth 1.05x | JD template 1.00x. friction: 90-day notice
CAND_0020845,35,0.650012,"AI Research Engineer with 7.0 years of experience. Current claim: configuring tokenization strategies, building text preprocessing layers, and training custom transformer sequences. top skills: scikit-learn (50mo) + Pinecone (30mo). key: availability (1.38x) signals: YoE fit 1.00x | availability 1.38x | notice 1.05x | location 0.93x | GitHub 1.00x | career quality 1.17x | skill depth 1.05x | JD template 1.00x. friction: based in Vizag, Andhra Pradesh (not Pune/Noida)"
CAND_0026716,36,0.647785,"Computer Vision Engineer with 5.6 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. top skills: Fine-tuning LLMs (48mo) + TensorFlow (39mo). key: availability (1.39x) signals: YoE fit 0.95x | availability 1.39x | notice 1.05x | location 0.93x | GitHub 1.15x | career quality 1.17x | skill depth 1.05x | JD template 1.00x. friction: based in Trivandrum, Kerala (not Pune/Noida)"
CAND_0092706,37,0.644943,AI Research Engineer with 5.8 years of experience. Current claim: researching statistical filtering layers and building offline mathematical engines for matrix factorization. top skills: Hugging Face Transformers (47mo) + Sentence Transformers (24mo). key: availability (1.46x) signals: YoE fit 0.95x | availability 1.46x | notice 0.85x | location 1.08x | GitHub 1.15x | career quality 1.20x | skill depth 1.05x | JD template 1.00x. friction: 120-day notice
CAND_0036121,38,0.644868,"ML Engineer with 5.2 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. top skills: Learning to Rank (40mo) + Machine Learning (39mo). key: availability (1.19x) signals: YoE fit 0.95x | availability 1.19x | notice 1.05x | location 0.97x | GitHub 1.15x | career quality 1.10x | skill depth 1.10x | JD template 1.00x. friction: based in Chennai, Tamil Nadu (not Pune/Noida)"
CAND_0043676,39,0.644716,"Senior Software Engineer (ML) with 6.1 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. key: availability (1.22x) signals: YoE fit 1.00x | availability 1.22x | notice 1.15x | location 1.08x | GitHub 1.15x | career quality 1.21x | skill depth 0.85x | JD template 1.00x. friction: based in Delhi, Delhi (not Pune/Noida)"
CAND_0091229,40,0.643975,"Senior Software Engineer (ML) with 7.0 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. top skills: scikit-learn (35mo) + TensorFlow (29mo). key: availability (1.31x) signals: YoE fit 1.00x | availability 1.31x | notice 1.05x | location 0.93x | GitHub 1.15x | career quality 1.22x | skill depth 1.05x | JD template 1.00x. friction: based in Bhubaneswar, Odisha (not Pune/Noida)"
CAND_0070544,41,0.642714,"AI Research Engineer with 4.9 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. top skills: OpenSearch (53mo) + scikit-learn (32mo). key: availability (1.31x) signals: YoE fit 0.80x | availability 1.31x | notice 1.05x | location 0.93x | GitHub 1.15x | career quality 1.20x | skill depth 1.07x | JD template 1.00x. friction: based in Jaipur, Rajasthan (not Pune/Noida)"
CAND_0043829,42,0.642099,AI Research Engineer with 4.8 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. top skills: BM25 (58mo) + Qdrant (26mo). key: availability (1.46x) signals: YoE fit 0.80x | availability 1.46x | notice 1.00x | location 1.00x | GitHub 1.06x | career quality 1.30x | skill depth 1.10x | JD template 1.00x. friction: 90-day notice
CAND_0017093,43,0.638671,"ML Engineer with 5.9 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. top skills: BM25 (41mo) + Embeddings (29mo). key: availability (1.38x) signals: YoE fit 0.95x | availability 1.38x | notice 1.15x | location 0.97x | GitHub 1.15x | career quality 1.23x | skill depth 1.05x | JD template 1.00x. friction: based in Hyderabad, Telangana (not Pune/Noida)"
CAND_0011643,44,0.634714,AI Research Engineer with 4.2 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. top skills: Pinecone (52mo) + LlamaIndex (23mo). key: availability (1.39x) signals: YoE fit 0.80x | availability 1.39x | notice 1.00x | location 0.93x | GitHub 1.15x | career quality 1.23x | skill depth 1.05x | JD template 1.00x. friction: 90-day notice
CAND_0022023,45,0.633329,AI Research Engineer with 4.6 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. top skills: Semantic Search (38mo) + Machine Learning (31mo). key: availability (1.31x) signals: YoE fit 0.80x | availability 1.31x | notice 1.05x | location 1.10x | GitHub 1.00x | career quality 1.12x | skill depth 1.05x | JD template 1.00x. friction: weaker experience fit (0.80x)
CAND_0029117,46,0.631926,"Senior Software Engineer (ML) with 5.6 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. top skills: PEFT (40mo). key: availability (1.35x) signals: YoE fit 0.95x | availability 1.35x | notice 1.05x | location 0.93x | GitHub 1.00x | career quality 1.15x | skill depth 1.00x | JD template 1.00x. friction: based in Kochi, Kerala (not Pune/Noida)"
CAND_0071747,47,0.629286,AI Research Engineer with 4.2 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. top skills: Python (55mo) + Semantic Search (33mo). key: availability (1.46x) signals: YoE fit 0.80x | availability 1.46x | notice 1.00x | location 0.93x | GitHub 1.15x | career quality 1.30x | skill depth 1.05x | JD template 1.00x. friction: 90-day notice
CAND_0077261,48,0.626908,"AI Specialist with 5.7 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. top skills: Hugging Face Transformers (31mo) + Vector Search (31mo). key: availability (1.26x) signals: YoE fit 0.95x | availability 1.26x | notice 1.05x | location 0.93x | GitHub 1.06x | career quality 1.15x | skill depth 1.05x | JD template 1.00x. friction: based in Chandigarh, Chandigarh (not Pune/Noida)"
CAND_0089211,49,0.625189,AI Specialist with 4.4 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. top skills: Hugging Face Transformers (35mo) + Machine Learning (33mo). key: availability (1.38x) signals: YoE fit 0.80x | availability 1.38x | notice 1.00x | location 1.10x | GitHub 1.00x | career quality 1.21x | skill depth 1.05x | JD template 1.00x. friction: 90-day notice
CAND_0029439,50,0.621591,"AI Specialist with 6.4 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. top skills: Qdrant (34mo) + QLoRA (27mo). key: availability (1.31x) signals: YoE fit 1.00x | availability 1.31x | notice 1.05x | location 0.93x | GitHub 0.96x | career quality 1.20x | skill depth 1.05x | JD template 1.00x. friction: based in Ahmedabad, Gujarat (not Pune/Noida)"
CAND_0043637,51,0.618826,"Junior ML Engineer with 5.5 years of experience. Current claim: configuring tokenization strategies, building text preprocessing layers, and training custom transformer sequences. top skills: Learning to Rank (55mo) + PyTorch (51mo). key: availability (1.46x) signals: YoE fit 0.95x | availability 1.46x | notice 1.05x | location 1.08x | GitHub 1.00x | career quality 1.23x | skill depth 1.05x | JD template 1.00x. friction: based in Delhi, Delhi (not Pune/Noida)"
CAND_0098454,52,0.606177,"AI Specialist with 6.6 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. top skills: Weaviate (39mo) + OpenSearch (24mo). key: availability (1.46x) signals: YoE fit 1.00x | availability 1.46x | notice 1.05x | location 0.93x | GitHub 1.00x | career quality 1.05x | skill depth 1.05x | JD template 1.00x. friction: based in Indore, Madhya Pradesh (not Pune/Noida)"
CAND_0046621,53,0.597612,"AI Research Engineer with 6.6 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. top skills: Pinecone (52mo) + TensorFlow (51mo). key: availability (1.25x) signals: YoE fit 1.00x | availability 1.25x | notice 1.05x | location 0.93x | GitHub 1.00x | career quality 1.15x | skill depth 1.07x | JD template 1.00x. friction: based in Kolkata, West Bengal (not Pune/Noida)"
CAND_0024549,54,0.595261,"AI Specialist with 5.2 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. top skills: TensorFlow (55mo) + LangChain (30mo). key: availability (1.46x) signals: YoE fit 0.95x | availability 1.46x | notice 1.05x | location 0.97x | GitHub 1.15x | career quality 0.94x | skill depth 1.10x | JD template 1.00x. friction: based in Mumbai, Maharashtra (not Pune/Noida)"
CAND_0075439,55,0.589336,"Machine Learning Engineer with 4.3 years of experience. Current claim: engineering conversational RAG platforms, context window assembly layers, and prompt optimization middleware protocols. top skills: Elasticsearch (88mo) + Semantic Search (54mo). key: JD template match (1.50x) signals: YoE fit 0.80x | availability 1.05x | notice 1.15x | location 0.93x | GitHub 1.15x | career quality 1.00x | skill depth 1.15x | JD template 1.50x. friction: based in Vizag, Andhra Pradesh (not Pune/Noida)"
CAND_0077498,56,0.585403,"Senior Software Engineer (ML) with 5.4 years of experience. Current claim: configuring tokenization strategies, building text preprocessing layers, and training custom transformer sequences. top skills: BM25 (51mo). key: availability (1.46x) signals: YoE fit 0.95x | availability 1.46x | notice 1.05x | location 0.93x | GitHub 1.15x | career quality 1.15x | skill depth 1.00x | JD template 1.00x. friction: based in Ahmedabad, Gujarat (not Pune/Noida)"
CAND_0070514,57,0.584249,"AI Specialist with 5.5 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. top skills: OpenSearch (47mo). key: availability (1.46x) signals: YoE fit 0.95x | availability 1.46x | notice 1.05x | location 1.00x | GitHub 1.06x | career quality 1.25x | skill depth 1.00x | JD template 1.00x. friction: based in Bangalore, Karnataka (not Pune/Noida)"
CAND_0014909,58,0.583331,Computer Vision Engineer with 4.8 years of experience. Current claim: researching statistical filtering layers and building offline mathematical engines for matrix factorization. top skills: pgvector (54mo) + Python (24mo). key: availability (1.46x) signals: YoE fit 0.80x | availability 1.46x | notice 0.85x | location 1.10x | GitHub 1.15x | career quality 1.30x | skill depth 1.05x | JD template 1.00x. friction: 120-day notice
CAND_0043860,59,0.582876,"Junior ML Engineer with 6.1 years of experience. Current claim: researching statistical filtering layers and building offline mathematical engines for matrix factorization. top skills: Semantic Search (44mo) + Information Retrieval (30mo). key: availability (1.46x) signals: YoE fit 1.00x | availability 1.46x | notice 1.15x | location 0.93x | GitHub 1.00x | career quality 1.25x | skill depth 1.05x | JD template 1.00x. friction: based in Bhubaneswar, Odisha (not Pune/Noida)"
CAND_0016163,60,0.581355,"Applied ML Engineer with 6.7 years of experience. Current claim: managing end-to-end model registry networks, deployment orchestration pipelines, and automated artifact version tracking. top skills: TensorFlow (83mo) + Machine Learning (69mo). key: JD template match (1.50x) signals: YoE fit 1.00x | availability 1.29x | notice 0.85x | location 0.93x | GitHub 1.15x | career quality 1.26x | skill depth 1.15x | JD template 1.50x. friction: 120-day notice"
CAND_0040946,61,0.581025,AI Research Engineer with 6.0 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. top skills: NLP (34mo) + Qdrant (23mo). key: availability (1.38x) signals: YoE fit 1.00x | availability 1.38x | notice 1.05x | location 1.10x | GitHub 1.00x | career quality 1.01x | skill depth 1.05x | JD template 1.00x. open to work.
CAND_0092255,62,0.578476,ML Engineer with 5.2 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. top skills: PyTorch (43mo) + RAG (43mo). key: availability (1.31x) signals: YoE fit 0.95x | availability 1.31x | notice 1.05x | location 1.10x | GitHub 1.15x | career quality 1.12x | skill depth 1.15x | JD template 1.00x. open to work.
CAND_0042690,63,0.578398,"Senior Software Engineer (ML) with 6.3 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. top skills: Machine Learning (57mo) + pgvector (44mo). key: company pedigree (1.16x) signals: YoE fit 1.00x | availability 1.05x | notice 1.05x | location 0.93x | GitHub 1.00x | career quality 1.16x | skill depth 1.12x | JD template 1.00x. friction: based in Kolkata, West Bengal (not Pune/Noida)"
CAND_0018925,64,0.573605,"AI Research Engineer with 5.8 years of experience. Current claim: configuring tokenization strategies, building text preprocessing layers, and training custom transformer sequences. top skills: Haystack (30mo) + Sentence Transformers (24mo). key: company pedigree (1.30x) signals: YoE fit 0.95x | availability 1.25x | notice 1.00x | location 0.93x | GitHub 1.15x | career quality 1.30x | skill depth 1.05x | JD template 1.00x. friction: 90-day notice"
CAND_0062413,65,0.573253,"AI Research Engineer with 6.6 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. top skills: BM25 (49mo) + Learning to Rank (47mo). key: availability (1.29x) signals: YoE fit 1.00x | availability 1.29x | notice 1.05x | location 0.97x | GitHub 1.06x | career quality 1.20x | skill depth 1.05x | JD template 1.00x. friction: based in Mumbai, Maharashtra (not Pune/Noida)"
CAND_0043958,66,0.567793,AI Research Engineer with 6.7 years of experience. Current claim: researching statistical filtering layers and building offline mathematical engines for matrix factorization. top skills: FAISS (54mo) + Sentence Transformers (27mo). key: company pedigree (1.15x) signals: YoE fit 1.00x | availability 1.08x | notice 0.85x | location 0.93x | GitHub 1.15x | career quality 1.15x | skill depth 1.05x | JD template 1.00x. friction: 120-day notice
CAND_0068777,67,0.564342,AI Research Engineer with 6.6 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. top skills: NLP (51mo) + scikit-learn (46mo). key: recruiter signal (1.16x) signals: YoE fit 1.00x | availability 1.00x | notice 0.85x | location 0.93x | GitHub 1.12x | career quality 1.10x | skill depth 1.10x | JD template 1.00x. friction: 120-day notice
